Id,NameHCR,RSSDHCR,Excl_Specialty,Excl_Foreign,Excl_Nocore,Excl_Noloans,Excl_Credit,CERT,NameFull,Address,City,Stalp,Zip,Stcnty,Year,Callym,CB,Asset,HCAsset,Size,ForAsset,LoanToAsset,CoreRatio,Max_Deposits,Office_Count,Unique_Metros,State_Count,Business_Line,Meets_LTA,Meets_Core,Meets_Deposits,Meets_Offices,Meets_LrgMSA,Meets_States,Run_Date
35139,,,0,0,0,0,0,35139,SEATTLE BANK,"600 UNIVERSITY ST, # 1850",SEATTLE,WA,98101,53033,2021,202112,1,"762,025","762,025",S,,77.54%,78.08%,556810,1,1,1,Mortgage Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35141,,,1,0,0,0,0,35141,BMW BANK OF NORTH AMERICA,"2735 E. PARLEYS WAY, # NO. 3",SALT LAKE CITY,UT,84109,49035,2021,202112,0,"11,696,297","11,696,297",L,,75.54%,16.96%,7486417,1,1,1,Other Consumer Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35151,NMB FINANCIAL CORP,0005011832,0,0,0,0,0,35151,NEW MILLENNIUM BANK,222 BRIDGE PLAZA S.,FORT LEE,NJ,07024,34003,2021,202112,1,"540,808","540,808",S,,65.74%,88.15%,98006,8,1,2,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35154,,,0,0,0,0,0,35154,"M.Y. SAFRA BANK, FSB",499 PARK AVE.,NEW YORK,NY,10022,36061,2021,202112,1,"386,185","386,185",S,,51.44%,77.13%,303156,1,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35157,FB BCORP,0003818822,0,0,0,0,0,35157,FARM BUREAU BANK FSB,10345 PROFESSIONAL CIR,RENO,NV,89521,32031,2021,202112,1,"799,549","799,549",S,,76.02%,81.97%,630061,2,1,2,Other Consumer Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35161,BANCKENTUCKY INC,0003832592,0,0,0,0,0,35161,THE MURRAY BANK,405 S. 12TH ST.,MURRAY,KY,42071,21035,2021,202112,1,"443,894","443,894",S,,54.41%,90.95%,260177,3,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35164,,,0,0,0,1,0,35164,CAPITAL BANK AND TRUST COMPANY,6455 IRVINE CTR. DR.,IRVINE,CA,92618,06059,2021,202112,0,"131,396","131,396",S,,0.00%,0.38%,500,2,1,2,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
1137453,FORESIGHT FINANCIAL GROUP INC,0001137453,0,0,0,0,0,35169,STATE BANK,1718 S. DIRCK DR.,FREEPORT,IL,61032,17177,2021,202112,1,"324,748","1,444,748",S,,58.70%,85.64%,253905,13,0,1,Ag Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35172,,,0,0,0,0,0,35172,BOUNDARY WATERS BANK,601 E. SHERIDAN ST.,ELY,MN,55731,27137,2021,202112,1,"117,525","117,525",S,,79.62%,85.43%,58653,3,1,1,Multi Specialty Lender,NA,NA,NA,NA,NA,NA,20220310
35206,,,0,0,0,1,0,35206,"FIDELITY PERSONAL TRUST COMPANY, FSB",245 SUMMER ST,BOSTON,MA,02210,25025,2021,202112,0,"67,697","67,697",S,,0.00%,0.74%,500,2,1,2,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35207,BK JAMES FINL GROUP INC,0003217032,0,0,0,0,0,35207,BANK OF THE JAMES,828 MAIN ST.,LYNCHBURG,VA,24504,51680,2021,202112,1,"977,506","977,506",S,,59.14%,89.94%,182653,18,0,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35212,CBOS BANKSHARES INC,0003450530,0,0,0,0,0,35212,COMMUNITY BANK OF THE SOUTH,277 N. SYKES CREEK PKWY.,MERRITT ISLAND,FL,32953,12009,2021,202112,1,"261,221","261,221",S,,25.49%,91.26%,102671,3,1,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
35214,FIRST RELIANCE BANCSHARES INC,0003070312,0,0,0,0,0,35214,FIRST RELIANCE BANK,2170 W. PALMETTO ST.,FLORENCE,SC,29501,45041,2021,202112,1,"908,003","908,003",S,,66.44%,84.79%,252306,12,6,2,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35218,FLAGLER BANCSHARES CORP,0004899967,0,0,0,0,0,35218,FLAGLER BANK,1801 FOREST HILL BLVD.,WEST PALM BEACH,FL,33406,12099,2021,202112,1,"497,257","497,257",S,,60.76%,79.68%,207563,3,1,1,Commercial Real Estate Lending Specialization,NA,NA,NA,NA,NA,NA,20220310
35220,WYOMING NATIONAL BCORP INC,0002910970,0,0,0,0,0,35220,WYOMING COMMUNITY BANK,1700 N. FEDL BLVD.,RIVERTON,WY,82501,56013,2021,202112,1,"216,114","216,114",S,,51.79%,84.33%,114844,3,0,1,No Lending Specialty,NA,NA,NA,NA,NA,NA,20220310
